"query_id","title","need","context","query_text"
"12","Genes regulated by Smad4","Find articles describing genes that are regulated by the signal transducing molecule Smad4.","Project is to characterize Smad4 knockout mouse in skin (specifically skin) to establish signaling network. Identify all Smad4 targets to compare gene expression patterns of the knockout mouse to the normal mouse.","Genes regulated by Smad4 Find articles describing genes that are regulated by the signal transducing molecule Smad4. Project is to characterize Smad4 knockout mouse in skin (specifically skin) to establish signaling network. Identify all Smad4 targets to compare gene expression patterns of the knockout mouse to the normal mouse."
"13","Role of TGFB in angiogenesis in skin","Documents regarding the role of TGFB in angiogenesis in skin with respect to homeostasis and development.","TGFB plays a crucial role in regulating angiogenesis, a biological process that occurs during development and homeostasis, as well as during inflammatory perturbation.","Role of TGFB in angiogenesis in skin Documents regarding the role of TGFB in angiogenesis in skin with respect to homeostasis and development. TGFB plays a crucial role in regulating angiogenesis, a biological process that occurs during development and homeostasis, as well as during inflammatory perturbation."
"14","Expression or Regulation of TGFB in HNSCC cancers","Documents regarding TGFB expression or regulation in HNSCC cancers.","The laboratory wants to identify components of the the TGFB signaling pathway in HNSCC, and determine new targets to study HNSCC.","Expression or Regulation of TGFB in HNSCC cancers Documents regarding TGFB expression or regulation in HNSCC cancers. The laboratory wants to identify components of the the TGFB signaling pathway in HNSCC, and determine new targets to study HNSCC."
"15","ATPase and apoptosis","Find information on role of ATPases in apoptosis","The laboratory wants to know more about the role of ATPases in apoptosis.","ATPase and apoptosis Find information on role of ATPases in apoptosis The laboratory wants to know more about the role of ATPases in apoptosis."
"16","AAA proteins","How do AAA proteins mediate interaction with lipids or DNA and what is their functional impact?","A relevant document is one that discusses protein interactions interactions involving members of the AAA protein family that can help to determine their functional importance.","AAA proteins How do AAA proteins mediate interaction with lipids or DNA and what is their functional impact? A relevant document is one that discusses protein interactions interactions involving members of the AAA protein family that can help to determine their functional importance."
"17","DO1 antibody","Determine binding affinity of anti-p53 monoclonal antibody DO1.","One aspect of determining how an antibody works is to determine its binding affinity. A relevant document is one which discusses the binding affinity of DO1.","DO1 antibody Determine binding affinity of anti-p53 monoclonal antibody DO1. One aspect of determining how an antibody works is to determine its binding affinity. A relevant document is one which discusses the binding affinity of DO1."
"18","Gis4","Properties of Gis4 with respect to cell cycle and/or metabolism.","It is possible that Gis4 plays a role between cell cycle and yeast carbon pathways and that there is a link between cell cycle and metabolism. A relevant document is one that supports or refutes this hypothesis with regard to the properties of Gis4 in one or both processes.","Gis4 Properties of Gis4 with respect to cell cycle and/or metabolism. It is possible that Gis4 plays a role between cell cycle and yeast carbon pathways and that there is a link between cell cycle and metabolism. A relevant document is one that supports or refutes this hypothesis with regard to the properties of Gis4 in one or both processes."
"19","Comparison of Promoters of GAL1 and SUC1","What similarities and differences exist between the upstream promoter regions of GAL1 and SUC1? Are there co-repressors or co-activators? If so, are they regulated by SNF1?","Gis4 may play a role between the cell cycle and yeast carbon pathways. SNF1 is an upstream kinase of Gis 4.","Comparison of Promoters of GAL1 and SUC1 What similarities and differences exist between the upstream promoter regions of GAL1 and SUC1? Are there co-repressors or co-activators? If so, are they regulated by SNF1? Gis4 may play a role between the cell cycle and yeast carbon pathways. SNF1 is an upstream kinase of Gis 4."
"20","Substrate modification by ubiquitin","Which biological processes are regulated by having constituent proteins modified by covalent attachment to ubiquitin or ubiquitin-like proteins?","Ubiquitin and ubiquitin-like proteins have important roles in controlling cell division, signal transduction, embryonic development, endocytic trafficking, and the immune response.","Substrate modification by ubiquitin Which biological processes are regulated by having constituent proteins modified by covalent attachment to ubiquitin or ubiquitin-like proteins? Ubiquitin and ubiquitin-like proteins have important roles in controlling cell division, signal transduction, embryonic development, endocytic trafficking, and the immune response."
"21","Role of p63 and p73 in relation to DNA damage","Do p63 and p73 cause cell cycle arrest or apoptosis related to DNA damage?","DNA damage may cause cell cycle arrest or apoptosis. p63 and p73 may play a role in mediating these sequelae of DNA damage.","Role of p63 and p73 in relation to DNA damage Do p63 and p73 cause cell cycle arrest or apoptosis related to DNA damage? DNA damage may cause cell cycle arrest or apoptosis. p63 and p73 may play a role in mediating these sequelae of DNA damage."
"22","Relative response of p53 family members to agents causing single-stranded versus double-stranded DNA breaks","Does p53 respond differently to different DNA-damaging agents? Do they respond differently to single-strand versus double-strand breaks?","DNA damage may cause cell cycle arrest or apoptosis. p53 plays a role in mediating these sequelae of DNA damage.","Relative response of p53 family members to agents causing single-stranded versus double-stranded DNA breaks Does p53 respond differently to different DNA-damaging agents? Do they respond differently to single-strand versus double-strand breaks? DNA damage may cause cell cycle arrest or apoptosis. p53 plays a role in mediating these sequelae of DNA damage."
"23","Saccharomyces cerevisiae proteins involved in ubiquitin system","Which Saccharomyces cerevisiae proteins are involved in the ubiquitin proteolytic pathway?","The researcher identified a protein in another yeast species and wants to compare it to the same one in Saccharomyces cerevisiae.","Saccharomyces cerevisiae proteins involved in ubiquitin system Which Saccharomyces cerevisiae proteins are involved in the ubiquitin proteolytic pathway? The researcher identified a protein in another yeast species and wants to compare it to the same one in Saccharomyces cerevisiae."
"24","Mouse peptidoglycan recognition proteins (PGRP)","Find all reports describing mouse peptidoglycan recognition proteins (PGRP).","A research group is preparing a manuscript about four poorly characterized mouse PGRP genes. Their findings include new information about gene regulation. They report longer DNA and protein sequences than those found in GenBank, and sub-cellular location discrepancies.","Mouse peptidoglycan recognition proteins (PGRP) Find all reports describing mouse peptidoglycan recognition proteins (PGRP). A research group is preparing a manuscript about four poorly characterized mouse PGRP genes. Their findings include new information about gene regulation. They report longer DNA and protein sequences than those found in GenBank, and sub-cellular location discrepancies."
"25","Cause of scleroderma","Identify studies that include genome-wide scans and microarray analysis in the investigation of scleroderma.","New information about experiments and genes involved in scleroderma.","Cause of scleroderma Identify studies that include genome-wide scans and microarray analysis in the investigation of scleroderma. New information about experiments and genes involved in scleroderma."
"26","Function of BUB2/BFA1 in the process of cytokinesis","Retrieval of information regarding the role of BUB2 and BFA1 in cytokinesis in yeast.","Information gathering for the purpose of supplementing the information from a local protocol.","Function of BUB2/BFA1 in the process of cytokinesis Retrieval of information regarding the role of BUB2 and BFA1 in cytokinesis in yeast. Information gathering for the purpose of supplementing the information from a local protocol."
"27","Role of autophagy in apoptosis","Experiments establishing positive or negative interconnection between autophagy and apoptosis.","New information about experiments and genes involved in autophagic cell death.","Role of autophagy in apoptosis Experiments establishing positive or negative interconnection between autophagy and apoptosis. New information about experiments and genes involved in autophagic cell death."
"28","Proteases that function in both apoptosis and autophagy cell death","Studies that investigate similarities in morphological changes among apoptosis and autophagy processes.","Collection of information regarding the potential relationship between apoptosis and autophagy.","Proteases that function in both apoptosis and autophagy cell death Studies that investigate similarities in morphological changes among apoptosis and autophagy processes. Collection of information regarding the potential relationship between apoptosis and autophagy."
"29","Phenotypes of gyrA mutations","Documents containing the sequences and phenotypes of E. coli gyrA mutations.","The laboratory has isolated some gyrA mutations in E. coli. They want to compare their mutant gyrA with the wild-type and other mutant sequences.","Phenotypes of gyrA mutations Documents containing the sequences and phenotypes of E. coli gyrA mutations. The laboratory has isolated some gyrA mutations in E. coli. They want to compare their mutant gyrA with the wild-type and other mutant sequences."
"30","Regulatory targets of the Nkx gene family members","Documents identifying genes regulated by Nkx gene family members.","The laboratory needs markers to follow Nkx family-member expression and activity.","Regulatory targets of the Nkx gene family members Documents identifying genes regulated by Nkx gene family members. The laboratory needs markers to follow Nkx family-member expression and activity."
"31","TOR signaling in neurofibromatosis","Reports that provide possible links between neurofibromatosis and TOR signaling.","TOR is a serine-threonine kinase in a pathway involved in the control of cell growth and proliferation, and it is the target of the signaling inhibitor rapamycin.","TOR signaling in neurofibromatosis Reports that provide possible links between neurofibromatosis and TOR signaling. TOR is a serine-threonine kinase in a pathway involved in the control of cell growth and proliferation, and it is the target of the signaling inhibitor rapamycin."
"32","Xenograft animal models of tumorogenesis","Find reports that describe xenograft models of human cancers.","A xenograft animal model of cancer is one in which foreign tumor tissue is grafted into animals, usually rodents, providing a means to test various compounds for their ability to slow or halt tumor growth.","Xenograft animal models of tumorogenesis Find reports that describe xenograft models of human cancers. A xenograft animal model of cancer is one in which foreign tumor tissue is grafted into animals, usually rodents, providing a means to test various compounds for their ability to slow or halt tumor growth."
"33","Mice, mutant strains, and Histoplasmosis","Identify research on mutant mouse strains and factors which increase susceptibility to infection by Histoplasma capsulatum.","The ultimate goal of this initial research study, is to identify mouse genes that will influence the outcome of blood borne pathogen infections.","Mice, mutant strains, and Histoplasmosis Identify research on mutant mouse strains and factors which increase susceptibility to infection by Histoplasma capsulatum. The ultimate goal of this initial research study, is to identify mouse genes that will influence the outcome of blood borne pathogen infections."
"34","Gene products of Cryptococcus important to fungal survival","Articles reporting experiments allowing annotation of gene products of Cryptococcus.","Information needed to contribute to the development of a standardized annotated database of Cryptococcus neoformans genome.","Gene products of Cryptococcus important to fungal survival Articles reporting experiments allowing annotation of gene products of Cryptococcus. Information needed to contribute to the development of a standardized annotated database of Cryptococcus neoformans genome."
"35","WD40 repeat-containing proteins","What is the function of proteins containing WD40 repeats?","Need to understand the variety of functions that involve this domain.","WD40 repeat-containing proteins What is the function of proteins containing WD40 repeats? Need to understand the variety of functions that involve this domain."
"36","RAB3A","Background information on RAB3A.","Further information about a gene is needed after it is identified through a gene expression profile. The genes are related to synaptic plasticity in learning and memory.","RAB3A Background information on RAB3A. Further information about a gene is needed after it is identified through a gene expression profile. The genes are related to synaptic plasticity in learning and memory."
"37","PAM","What research is being done on peptide amidating enzyme, PAM?","Need to put specific PAM research in the context of other researchers work.","PAM What research is being done on peptide amidating enzyme, PAM? Need to put specific PAM research in the context of other researchers work."
"38","Risk factors for stroke","Information concerning genetic loci that are associated with increased risk of stroke, such as apolipoprotein E4 or factor V mutations.","Candidate gene testing within a large Scottish case-control study of genetic risk factors for stroke. Future research includes investigations into other ethnically distinct populations.","Risk factors for stroke Information concerning genetic loci that are associated with increased risk of stroke, such as apolipoprotein E4 or factor V mutations. Candidate gene testing within a large Scottish case-control study of genetic risk factors for stroke. Future research includes investigations into other ethnically distinct populations."
"39","Hypertension","Identify genes as potential genetic risk factors candidates for causing hypertension.","A relevant document is one which discusses genes that could be considered as candidates to test in a randomized controlled trial which studies the genetic risk factors for stroke.","Hypertension Identify genes as potential genetic risk factors candidates for causing hypertension. A relevant document is one which discusses genes that could be considered as candidates to test in a randomized controlled trial which studies the genetic risk factors for stroke."
"40","Antigens expressed by lung epithelial cells","To identify the antigens expressed by lung epithelial cells and the antibodies available.","Information gathering to design assays to determine the nature of donor cells in tissues of chimaeric animals.","Antigens expressed by lung epithelial cells To identify the antigens expressed by lung epithelial cells and the antibodies available. Information gathering to design assays to determine the nature of donor cells in tissues of chimaeric animals."
"41","Mutations in the Cystic Fibrosis conductance regulator gene","What phenotypes have been described resulting from mutations in the Cystic Fibrosis conductance regulator gene?","Comparing protein mutations detected utilizing mass spectrometry.","Mutations in the Cystic Fibrosis conductance regulator gene What phenotypes have been described resulting from mutations in the Cystic Fibrosis conductance regulator gene? Comparing protein mutations detected utilizing mass spectrometry."
"42","Genes altered by chromosome translocations","What genes show altered behavior due to chromosomal rearrangements?","Information is required on the disruption of functions from genomic DNA rearrangements.","Genes altered by chromosome translocations What genes show altered behavior due to chromosomal rearrangements? Information is required on the disruption of functions from genomic DNA rearrangements."
"43","Sleeping Beauty","Studies of Sleeping Beauty transposons.","A relevant document is one that discusses studies on Sleeping Beauty. Interviewee's group studies a related element and want to know what others are doing in a similar field.","Sleeping Beauty Studies of Sleeping Beauty transposons. A relevant document is one that discusses studies on Sleeping Beauty. Interviewee's group studies a related element and want to know what others are doing in a similar field."
"44","Proteins involved in the nerve growth factor pathway","Create a list of all the nerve growth factor pathway proteins.","Need to identify genes that are most likely to be involved in the nerve growth factor pathway.","Proteins involved in the nerve growth factor pathway Create a list of all the nerve growth factor pathway proteins. Need to identify genes that are most likely to be involved in the nerve growth factor pathway."
"45","Mental Health Wellness-1","What genetic loci, such as Mental Health Wellness 1 (MWH1) are implicated in mental health?","Want to identify genes involved in mental disorders.","Mental Health Wellness-1 What genetic loci, such as Mental Health Wellness 1 (MWH1) are implicated in mental health? Want to identify genes involved in mental disorders."
"46","RSK2","What human biological processes is RSK2 known to be involved in?","After being identified via microarrays, the biological processes the genes are involved in needs to be discovered.","RSK2 What human biological processes is RSK2 known to be involved in? After being identified via microarrays, the biological processes the genes are involved in needs to be discovered."
"47","Human gene BCL-2 antagonists and inhibitors","Research the human gene BCL-2 to determine if there are antagonists and inhibitors inside of a cell.","Early research goals included learning more about BCL2-interacting molecules, which facilitated identifying new inhibitors during preliminary testing.","Human gene BCL-2 antagonists and inhibitors Research the human gene BCL-2 to determine if there are antagonists and inhibitors inside of a cell. Early research goals included learning more about BCL2-interacting molecules, which facilitated identifying new inhibitors during preliminary testing."
"48","Human homologues of C. elegans UNC genes","What is the focus of studies involving the members of the human UNC gene family?","The interviewee wished to determine the interests and focus of a fellow scientist that was investigating similar topics to their own.","Human homologues of C. elegans UNC genes What is the focus of studies involving the members of the human UNC gene family? The interviewee wished to determine the interests and focus of a fellow scientist that was investigating similar topics to their own."
"49","Glyphosate tolerance gene sequence","Find reports and glyphosate tolerance gene sequences in the literature.","A DNA sequence isolated in the laboratory is often sequenced only partially, until enough sequence is generated to identify the gene. In these situations, the rest of the sequence is inferred from matching clones in the public domain. When there is difficulty in the laboratory manipulating the DNA segment using sequence-dependent methods, the laboratory isolate must be re-examined.","Glyphosate tolerance gene sequence Find reports and glyphosate tolerance gene sequences in the literature. A DNA sequence isolated in the laboratory is often sequenced only partially, until enough sequence is generated to identify the gene. In these situations, the rest of the sequence is inferred from matching clones in the public domain. When there is difficulty in the laboratory manipulating the DNA segment using sequence-dependent methods, the laboratory isolate must be re-examined."
"50","Low temperature protein expression in E. coli","Find research on improving protein expressions at low temperature in Escherichia coli bacteria.","The researcher is not satisfied with the yield of expressing a protein in E. coli when grown at low temperature and is searching for a better solution. The researcher is willing to try a different organism and/or method.","Low temperature protein expression in E. coli Find research on improving protein expressions at low temperature in Escherichia coli bacteria. The researcher is not satisfied with the yield of expressing a protein in E. coli when grown at low temperature and is searching for a better solution. The researcher is willing to try a different organism and/or method."
